GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,1,...,Personal consumption expenditures,5534091.8,5874285,6275655.2,6758605.7,7061876.3,7338427.6,7717658.4,8206825.4,8741177.6,9253947.4,9699133.5,9968412.9,9833212,10177464.5,10631511.2,10997927,11309307.3,11814798.5,12277398.3,12741882.7,13305559.3,13988761.9
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,2,..., Goods,2003807.2,2105476.2,2283638.6,2449633.7,2521835.1,2594546.2,2717146.9,2896184.3,3076982.5,3233258.1,3359733.4,3355303.7,3171025.7,3309453.5,3508522.9,3628852,3722069.7,3855001.8,3913452,3989304.6,4158518.8,4354878.9
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,3,...,  Durable goods,715529.6,779293.4,855568.3,912571.8,941515.1,985368.1,1017800.6,1080574.3,1128610.2,1158333.1,1188043,1098760.6,1012121.3,1048962.5,1093498.8,1144221,1189413.3,1242075.5,1305896.9,1352645.1,1412569.8,1475584.8
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,4,...,   Motor vehicles and parts,293082.5,320204.7,350730.2,363227.6,383289.5,401346.5,401518.3,409310.9,409954.2,394949.3,400573,343337.2,318583.1,344466.2,365178.4,396607.9,417533,441992,474245.2,483618.8,502240.9,521484.3
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,5,...,   Furnishings and durable household equipment,160490.2,173579.1,191184.9,208105.7,214940.1,225868.3,235161,254310.4,271273.5,283597.6,283457.6,264348.6,238275.2,240924.2,246861.8,253938,263589.7,276166.5,294092.9,308960.9,324699.2,341206.3
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,6,...,   Recreational goods and vehicles,174632,191359.7,210921.5,230858.6,234933.1,244773.3,259466.2,284842.1,306400.9,326319.7,339189.9,328061.1,297516.5,298612.2,305352.7,311821.3,321560.9,329928,336019.6,356739.4,378755.8,394609.2
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,7,...,   Other durable goods,87324.8,94149.8,102731.7,110380,108352.4,113379.9,121655.2,132110.9,140981.6,153466.5,164822.6,163013.7,157746.5,164959.9,176105.9,181853.7,186729.7,193989,201539.2,203326,206873.9,218285
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,8,...,  Nondurable goods,1288277.7,1326182.8,1428070.3,1537061.9,1580319.9,1609178.1,1699346.2,1815610.1,1948372.3,2074925,2171690.4,2256543,2158904.4,2260491,2415024.2,2484631,2532656.3,2612926.3,2607555.2,2636659.4,2745949.1,2879294.1
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,9,...,   Food and beverages purchased for off-premises consumption,474777.2,487437,515530.4,540578.4,564002.8,575052.2,599580.2,632604.5,668216.1,700260.4,737332,769085.5,772929.7,786866.1,819542.4,846198,863994,896855.4,920056.9,937829.1,967479.7,1003410.9
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,10,...,   Clothing and footwear,247496.1,257805.3,271096.9,280831.4,277868.4,278834.8,285295.5,297379.6,310509.3,320022.8,323474.1,317372.5,304042.6,316611.3,332585.6,345219.5,350533.1,360750.6,368829.9,374662.6,376359.1,391528.2
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,11,...,   Gasoline and other energy goods,147661.2,132354.7,146544.9,184515.6,177985.9,167899.8,196411.7,232732.5,283769.9,319649.8,345546.6,391088.8,287027.5,336717.6,413800.9,421934.6,418248.3,403343.7,309417.8,275038.5,307982.8,349648.5
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,12,...,   Other nondurable goods,418343.1,448585.8,494898.1,531136.5,560462.9,587391.3,618058.8,652893.5,685877,734992,765337.7,778996.2,794904.7,820296,849095.3,871278.9,899881,951976.5,1009250.6,1049129.3,1094127.5,1134706.4
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,13,..., Services,3530284.6,3768808.8,3992016.6,4308972,4540041.2,4743881.5,5000511.6,5310641.1,5664195.1,6020689.4,6339400.1,6613109.3,6662186.3,6868010.9,7122988.3,7369075,7587237.6,7959796.7,8363946.3,8752578.2,9147040.5,9633883
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,14,...,  Household consumption expenditures (for services),3424696.6,3645002.1,3853787.6,4150931.4,4360958.6,4545538.9,4795000.1,5104269.4,5453927.6,5781505,6090620,6325817,6373005.8,6573572.6,6811132.4,7027528.7,7234647.7,7594200.3,7992520.8,8355045.1,8733253.1,9190918.5
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,15,...,   Housing and utilities,1009822.3,1065472.1,1123133.2,1198555.7,1287493.2,1333583.1,1394119.2,1469081.8,1583620.5,1682373.9,1758182.3,1835359.2,1877656.3,1903886,1955928.9,1996329.9,2055263.3,2149905.8,2255707,2355293,2455001.9,2567179.8
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,16,...,   Health care,790947.7,832045.1,863589.3,918424.6,996564,1082872.1,1154049.4,1238873.2,1320533.1,1391891.6,1478209,1555346.2,1632736.9,1699558.9,1757146.1,1821293.4,1858240.3,1940547.2,2057195.9,2160093.6,2243376.5,2352634.1
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,17,...,   Transportation services,211803.2,225179.9,241343.8,261279.3,259800.4,251873.5,259618.3,271149.6,283884.3,297056.4,307553.5,312689.1,297361.9,305153.4,328362.2,341050.3,359937,383041.7,398598.5,418906.5,439437.7,462236.3
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,18,...,   Recreation services,208317,220204.3,238055.3,254390,262290.3,271403.1,288864.8,311478.7,328124,351278.2,375593.8,389069.5,388399.3,403742.9,409015.1,430769.4,447059.8,466594.5,492052.1,519547.6,539940.5,563221.9
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,19,...,   Food services and accommodations,343427.5,361836.3,380330.7,408781.2,419663.8,436310.5,462716,498229.4,533632.4,570600,601498.1,620152.1,612688.2,635670.7,669464.7,704927.9,732250.6,776933.8,832833.9,872420.8,913788.2,973319.7
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,20,...,   Financial services and insurance,408884.2,446059.4,486397.3,542972.5,525665.1,534730,560280.4,605533.1,659045.3,694972,737182.8,756643.2,711260.5,754426.5,797915.3,820136.5,858389.4,908093.7,956923.3,977533.4,1040423.3,1110985.1
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,21,...,   Other services,451494.8,494205,520937.9,566528.2,609481.8,634766.6,675352,709923.6,745088,793333,832400.4,856557.7,852902.7,871134.2,893300.2,913021.4,923507.3,969083.7,999210,1051250.3,1101285,1161341.8
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,22,...,  Final consumption expenditures of nonprofit institutions serving households (NPISHs),105588,123806.7,138229,158040.6,179082.6,198342.5,205511.4,206371.6,210267.5,239184.3,248780.1,287292.3,289180.4,294438.3,311855.9,341546.3,352589.9,365596.4,371425.5,397533.1,413787.4,442964.5
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,23,...,   Gross output of nonprofit institutions,502624.5,542521.1,576318.9,621640.5,676441.5,737060.5,774642.9,818993.8,868455.5,932225.6,983141.2,1047352.7,1088289.3,1128597.6,1173519.1,1236512.8,1271725.4,1322387,1383213.6,1462985.3,1521565.3,1597870.5
" ""00000""",United States, ,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,24,...,   Less: Receipts from sales of goods and services by nonprofit institutions,397036.5,418714.3,438090,463600,497358.8,538717.9,569131.5,612622.1,658188,693041.3,734361.1,760060.4,799108.8,834159.3,861663.2,894966.6,919135.5,956790.6,1011788.1,1065452.2,1107777.9,1154906.1
" ""01000""",Alabama,5,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,1,...,Personal consumption expenditures,74340.3,77946.9,82570,87080.2,90325.4,94859.3,99368.5,105420.7,113258.8,118931.8,124176.3,127649.7,126501.6,130833.8,135211.8,138773.3,141400.3,145877.1,149688,153223.8,158573.9,165716.5
" ""01000""",Alabama,5,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,2,..., Goods,30295.9,31317.4,33614.3,35138.8,36208.9,37908,39810.3,42646.8,45713.1,47997.3,50167.5,50169.6,47924.8,49895.6,52313,53665.8,54525.5,55931.8,56286.5,56634.4,58520.9,60836.6
" ""01000""",Alabama,5,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,3,...,  Durable goods,10102.1,10809,11692.1,11985.9,12271.1,13122.5,13539.1,14390,15146.5,15615.9,16439.7,14953.6,13887.7,14402.9,14971,15582.3,16073.1,16601.1,17315.3,17925.1,18641.8,19380.9
" ""01000""",Alabama,5,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,4,...,   Motor vehicles and parts,4891.9,5286.7,5775.5,5816.9,6048.1,6431.5,6451.4,6590,6726.7,6670.1,6739.3,5679.5,5154.2,5681.6,6023.1,6451.6,6701.3,6944.8,7377.8,7533.4,7762.1,8100.9
" ""01000""",Alabama,5,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,5,...,   Furnishings and durable household equipment,2221.4,2335.7,2480.5,2589.9,2599,2777.3,2893,3139.1,3425.8,3624.7,3720.7,3442.9,3151.7,3141.5,3177.8,3252.4,3314.8,3424.3,3611.9,3832.2,4020.3,4188
" ""01000""",Alabama,5,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,6,...,   Recreational goods and vehicles,1907.8,2013.6,2144.5,2222.5,2274.7,2458.1,2707.9,3057.3,3296.3,3489.1,3969.7,3842.7,3603.5,3520,3590.7,3663.7,3758.5,3820.4,3863.8,4114.8,4406.1,4549.5
" ""01000""",Alabama,5,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,7,...,   Other durable goods,1081,1172.9,1291.6,1356.5,1349.3,1455.6,1486.9,1603.6,1697.8,1831.9,2010,1988.6,1978.3,2059.7,2179.4,2214.7,2298.5,2411.6,2461.7,2444.7,2453.4,2542.5
" ""01000""",Alabama,5,SAEXP1,Total personal consumption expenditures (PCE) by state,Millions of current dollars,8,...,  Nondurable goods,20193.8,20508.5,21922.2,23152.9,23937.8,24785.5,26271.1,28256.8,30566.5,32381.4,33727.8,35216,34037.2,35492.7,37342,38083.5,38452.4,39330.7,38971.2,38709.3,39879.1,41455.7
