state,jurisdiction,fipscode,office,candidate,party,votes,totalvotes,state_county,county,result
AK,District 36,,Senate,"Murkowski, Lisa",Republican,4341,8039,AK District 36,District 207,0.5399925363851226
AK,District 37,,Senate,"Metcalfe, Ray",Democrat,592,4953,AK District 37,District 212,0.11952352109832425
AK,District 37,,Senate,"Murkowski, Lisa",Republican,2927,4953,AK District 37,District 214,0.5909549767817485
AK,District 38,,Senate,"Metcalfe, Ray",Democrat,630,5009,AK District 38,District 219,0.12577360750648833
AK,District 38,,Senate,"Murkowski, Lisa",Republican,2663,5009,AK District 38,District 221,0.5316430425234577
AK,District 39,,Senate,"Metcalfe, Ray",Democrat,509,5538,AK District 39,District 226,0.09191043698085952
AK,District 39,,Senate,"Murkowski, Lisa",Republican,3309,5538,AK District 39,District 228,0.5975081256771397
AK,District 4,,Senate,"Metcalfe, Ray",Democrat,1142,9408,AK District 4,District 233,0.12138605442176871
AK,District 4,,Senate,"Murkowski, Lisa",Republican,3924,9408,AK District 4,District 235,0.41709183673469385
AK,District 40,,Senate,"Metcalfe, Ray",Democrat,466,4512,AK District 40,District 240,0.10328014184397163
AK,District 40,,Senate,"Murkowski, Lisa",Republican,2583,4512,AK District 40,District 242,0.5724734042553191
AK,District 5,,Senate,"Metcalfe, Ray",Democrat,965,7769,AK District 5,District 247,0.12421161024584888
AK,District 5,,Senate,"Murkowski, Lisa",Republican,3487,7769,AK District 5,District 249,0.44883511391427466
AK,District 6,,Senate,"Metcalfe, Ray",Democrat,791,8195,AK District 6,District 254,0.09652226967663209
AK,District 6,,Senate,"Murkowski, Lisa",Republican,3606,8195,AK District 6,District 256,0.4400244051250763
AK,District 7,,Senate,"Metcalfe, Ray",Democrat,564,8093,AK District 7,District 261,0.06968985543061905
AK,District 7,,Senate,"Murkowski, Lisa",Republican,3262,8093,AK District 7,District 263,0.4030643766217719
AK,District 8,,Senate,"Metcalfe, Ray",Democrat,472,7833,AK District 8,District 268,0.06025788331418358
AK,District 8,,Senate,"Murkowski, Lisa",Republican,2880,7833,AK District 8,District 270,0.3676752202221371
AK,District 9,,Senate,"Metcalfe, Ray",Democrat,727,8723,AK District 9,District 275,0.08334288662157514
AK,District 9,,Senate,"Murkowski, Lisa",Republican,3558,8723,AK District 9,District 277,0.4078871947724407
AK,HD99 Fed Overseas Absentee,,Senate,"Metcalfe, Ray",Democrat,193,298,AK HD99 Fed Overseas Absentee,District 282,0.6476510067114094
AK,HD99 Fed Overseas Absentee,,Senate,"Murkowski, Lisa",Republican,71,298,AK HD99 Fed Overseas Absentee,District 284,0.23825503355704697
AL,Autauga,100100000.0,Senate,Crumpton,Democrat,6331,24613,AL Autauga,Autauga County,0.25722179336123185
AL,Autauga,100100000.0,Senate,Shelby,Republican,18220,24613,AL Autauga,Autauga County,0.7402592126112217
AL,Baldwin,100300000.0,Senate,Shelby,Republican,74021,93414,AL Baldwin,Baldwin County,0.7923972852035027
AL,Baldwin,100300000.0,Senate,Crumpton,Democrat,19145,93414,AL Baldwin,Baldwin County,0.20494786648682212
AL,Barbour,100500000.0,Senate,Shelby,Republican,5436,10229,AL Barbour,Barbour County,0.5314302473360055
AL,Barbour,100500000.0,Senate,Crumpton,Democrat,4777,10229,AL Barbour,Barbour County,0.4670055723922182
AL,Bibb,100700000.0,Senate,Crumpton,Democrat,2082,8711,AL Bibb,Bibb County,0.239008150614166
AL,Bibb,100700000.0,Senate,Shelby,Republican,6612,8711,AL Bibb,Bibb County,0.7590402938812995
AL,Blount,100900000.0,Senate,Shelby,Republican,22169,25197,AL Blount,Blount County,0.8798269635274041
AL,Blount,100900000.0,Senate,Crumpton,Democrat,2980,25197,AL Blount,Blount County,0.11826804778346628
AL,Bullock,101100000.0,Senate,Shelby,Republican,1167,4537,AL Bullock,Bullock County,0.2572184262728675
AL,Bullock,101100000.0,Senate,Crumpton,Democrat,3364,4537,AL Bullock,Bullock County,0.7414591139519506
AL,Butler,101300000.0,Senate,Shelby,Republican,4840,8510,AL Butler,Butler County,0.5687426556991775
AL,Butler,101300000.0,Senate,Crumpton,Democrat,3663,8510,AL Butler,Butler County,0.43043478260869567
AL,Calhoun,101500000.0,Senate,Shelby,Republican,32976,47197,AL Calhoun,Calhoun County,0.6986884759624552
AL,Calhoun,101500000.0,Senate,Crumpton,Democrat,14152,47197,AL Calhoun,Calhoun County,0.2998495667097485
AL,Chambers,101700000.0,Senate,Crumpton,Democrat,5845,13728,AL Chambers,Chambers County,0.4257721445221445
AL,Chambers,101700000.0,Senate,Shelby,Republican,7865,13728,AL Chambers,Chambers County,0.5729166666666666
AL,Cherokee,101900000.0,Senate,Crumpton,Democrat,1915,10558,AL Cherokee,Cherokee County,0.1813790490623224
AL,Cherokee,101900000.0,Senate,Shelby,Republican,8636,10558,AL Cherokee,Cherokee County,0.8179579465807918
AL,Chilton,102100000.0,Senate,Shelby,Republican,14582,17934,AL Chilton,Chilton County,0.813092450094792
AL,Chilton,102100000.0,Senate,Crumpton,Democrat,3327,17934,AL Chilton,Chilton County,0.18551354968216796
AL,Choctaw,102300000.0,Senate,Shelby,Republican,4035,7035,AL Choctaw,Choctaw County,0.5735607675906184
AL,Choctaw,102300000.0,Senate,Crumpton,Democrat,2992,7035,AL Choctaw,Choctaw County,0.42530206112295665
AL,Clarke,102500000.0,Senate,Shelby,Republican,7158,12730,AL Clarke,Clarke County,0.5622937941869599
AL,Clarke,102500000.0,Senate,Crumpton,Democrat,5558,12730,AL Clarke,Clarke County,0.43660644147682637
AL,Clay,102700000.0,Senate,Shelby,Republican,5147,6528,AL Clay,Clay County,0.7884497549019608
AL,Clay,102700000.0,Senate,Crumpton,Democrat,1377,6528,AL Clay,Clay County,0.2109375
AL,Cleburne,102900000.0,Senate,Crumpton,Democrat,847,6407,AL Cleburne,Cleburne County,0.1321991571718433
AL,Cleburne,102900000.0,Senate,Shelby,Republican,5554,6407,AL Cleburne,Cleburne County,0.866864367098486
AL,Coffee,103100000.0,Senate,Shelby,Republican,15745,20292,AL Coffee,Coffee County,0.7759215454366253
AL,Coffee,103100000.0,Senate,Crumpton,Democrat,4498,20292,AL Coffee,Coffee County,0.22166370983638872
AL,Colbert,103300000.0,Senate,Crumpton,Democrat,8443,24337,AL Colbert,Colbert County,0.34692032707400255
AL,Colbert,103300000.0,Senate,Shelby,Republican,15866,24337,AL Colbert,Colbert County,0.6519291613592473
AL,Conecuh,103500000.0,Senate,Shelby,Republican,3298,6311,AL Conecuh,Conecuh County,0.5225796228806845
AL,Conecuh,103500000.0,Senate,Crumpton,Democrat,3006,6311,AL Conecuh,Conecuh County,0.4763112026620187
AL,Coosa,103700000.0,Senate,Shelby,Republican,3378,5174,AL Coosa,Coosa County,0.6528797835330499
AL,Coosa,103700000.0,Senate,Crumpton,Democrat,1788,5174,AL Coosa,Coosa County,0.34557402396598375
AL,Covington,103900000.0,Senate,Shelby,Republican,12690,15466,AL Covington,Covington County,0.820509504720031
AL,Covington,103900000.0,Senate,Crumpton,Democrat,2740,15466,AL Covington,Covington County,0.1771628087417561
AL,Crenshaw,104100000.0,Senate,Shelby,Republican,4392,6137,AL Crenshaw,Crenshaw County,0.7156591168323285
AL,Crenshaw,104100000.0,Senate,Crumpton,Democrat,1734,6137,AL Crenshaw,Crenshaw County,0.28254847645429365
AL,Cullman,104300000.0,Senate,Crumpton,Democrat,5207,37265,AL Cullman,Cullman County,0.13972896820072453
AL,Cullman,104300000.0,Senate,Shelby,Republican,32001,37265,AL Cullman,Cullman County,0.8587414463974239
AL,Dale,104500000.0,Senate,Crumpton,Democrat,4625,18335,AL Dale,Dale County,0.2522497954731388
AL,Dale,104500000.0,Senate,Shelby,Republican,13652,18335,AL Dale,Dale County,0.7445868557403872
AL,Dallas,104700000.0,Senate,Shelby,Republican,6060,18462,AL Dallas,Dallas County,0.32824179395515113
AL,Dallas,104700000.0,Senate,Crumpton,Democrat,12388,18462,AL Dallas,Dallas County,0.6709998916693749
AL,DeKalb,104900000.0,Senate,Shelby,Republican,20347,25123,AL DeKalb,Dekalb County,0.8098953150499543
AL,DeKalb,104900000.0,Senate,Crumpton,Democrat,4749,25123,AL DeKalb,Dekalb County,0.18902997253512718
AL,Elmore,105100000.0,Senate,Shelby,Republican,27591,36526,AL Elmore,Elmore County,0.7553797295077479
AL,Elmore,105100000.0,Senate,Crumpton,Democrat,8833,36526,AL Elmore,Elmore County,0.24182773914471883
AL,Escambia,105300000.0,Senate,Shelby,Republican,9555,14197,AL Escambia,Escambia County,0.673029513277453
AL,Escambia,105300000.0,Senate,Crumpton,Democrat,4625,14197,AL Escambia,Escambia County,0.32577305064450235
AL,Etowah,105500000.0,Senate,Crumpton,Democrat,11981,43506,AL Etowah,Etowah County,0.2753873029007493
AL,Etowah,105500000.0,Senate,Shelby,Republican,31441,43506,AL Etowah,Etowah County,0.7226819289293431
AL,Fayette,105700000.0,Senate,Shelby,Republican,6555,8065,AL Fayette,Fayette County,0.8127712337259765
AL,Fayette,105700000.0,Senate,Crumpton,Democrat,1497,8065,AL Fayette,Fayette County,0.1856168629882207
AL,Franklin,105900000.0,Senate,Crumpton,Democrat,2850,11534,AL Franklin,Franklin County,0.24709554361019595
AL,Franklin,105900000.0,Senate,Shelby,Republican,8670,11534,AL Franklin,Franklin County,0.7516906537194382
AL,Geneva,106100000.0,Senate,Shelby,Republican,9606,11437,AL Geneva,Geneva County,0.8399055696423887
AL,Geneva,106100000.0,Senate,Crumpton,Democrat,1803,11437,AL Geneva,Geneva County,0.157646235901023
AL,Greene,106300000.0,Senate,Crumpton,Democrat,3834,4755,AL Greene,Greene County,0.8063091482649842
AL,Greene,106300000.0,Senate,Shelby,Republican,918,4755,AL Greene,Greene County,0.19305993690851736
AL,Hale,106500000.0,Senate,Crumpton,Democrat,4650,7863,AL Hale,Hale County,0.5913773368943152
AL,Hale,106500000.0,Senate,Shelby,Republican,3208,7863,AL Hale,Hale County,0.40798677349612106
AL,Henry,106700000.0,Senate,Crumpton,Democrat,2366,7895,AL Henry,Henry County,0.29968334388853707
AL,Henry,106700000.0,Senate,Shelby,Republican,5506,7895,AL Henry,Henry County,0.6974034198860039
AL,Houston,106900000.0,Senate,Crumpton,Democrat,11219,41833,AL Houston,Houston County,0.2681854038677599
AL,Houston,106900000.0,Senate,Shelby,Republican,30494,41833,AL Houston,Houston County,0.7289460473788636
AL,Jackson,107100000.0,Senate,Crumpton,Democrat,4538,20301,AL Jackson,Jackson County,0.22353578641446234
AL,Jackson,107100000.0,Senate,Shelby,Republican,15742,20301,AL Jackson,Jackson County,0.7754297817841486
AL,Jefferson,107300000.0,Senate,Crumpton,Democrat,156574,301163,AL Jefferson,Jefferson County,0.5198978626192461
AL,Jefferson,107300000.0,Senate,Shelby,Republican,144136,301163,AL Jefferson,Jefferson County,0.47859796854195236
AL,Lamar,107500000.0,Senate,Crumpton,Democrat,1125,6763,AL Lamar,Lamar County,0.16634629602247522
AL,Lamar,107500000.0,Senate,Shelby,Republican,5634,6763,AL Lamar,Lamar County,0.8330622504805559
AL,Lauderdale,107700000.0,Senate,Shelby,Republican,27092,38787,AL Lauderdale,Lauderdale County,0.6984814499703509
AL,Lauderdale,107700000.0,Senate,Crumpton,Democrat,11652,38787,AL Lauderdale,Lauderdale County,0.3004099311625029
AL,Lawrence,107900000.0,Senate,Crumpton,Democrat,4171,14441,AL Lawrence,Lawrence County,0.2888304134062738
AL,Lawrence,107900000.0,Senate,Shelby,Republican,10254,14441,AL Lawrence,Lawrence County,0.7100616300810193
AL,Lee,108100000.0,Senate,Crumpton,Democrat,21475,58294,AL Lee,Lee County,0.3683912581054654
AL,Lee,108100000.0,Senate,Shelby,Republican,36684,58294,AL Lee,Lee County,0.629292894637527
AL,Limestone,108300000.0,Senate,Crumpton,Democrat,10233,39493,AL Limestone,Limestone County,0.25910920922695163
AL,Limestone,108300000.0,Senate,Shelby,Republican,29203,39493,AL Limestone,Limestone County,0.7394474970247892
AL,Lowndes,108500000.0,Senate,Shelby,Republican,1839,6426,AL Lowndes,Lowndes County,0.2861811391223156
AL,Lowndes,108500000.0,Senate,Crumpton,Democrat,4580,6426,AL Lowndes,Lowndes County,0.712729536258948
AL,Macon,108700000.0,Senate,Shelby,Republican,1553,9004,AL Macon,Macon County,0.1724788982674367
AL,Macon,108700000.0,Senate,Crumpton,Democrat,7442,9004,AL Macon,Macon County,0.8265215459795646
AL,Madison,108900000.0,Senate,Crumpton,Democrat,62870,160990,AL Madison,Madison County,0.3905211503820113
AL,Madison,108900000.0,Senate,Shelby,Republican,97796,160990,AL Madison,Madison County,0.6074663022547985
AL,Marengo,109100000.0,Senate,Crumpton,Democrat,5419,10718,AL Marengo,Marengo County,0.505598059339429
AL,Marengo,109100000.0,Senate,Shelby,Republican,5294,10718,AL Marengo,Marengo County,0.4939354357156186
AL,Marion,109300000.0,Senate,Shelby,Republican,10753,12741,AL Marion,Marion County,0.8439682913429087
AL,Marion,109300000.0,Senate,Crumpton,Democrat,1961,12741,AL Marion,Marion County,0.15391256573267403
AL,Marshall,109500000.0,Senate,Shelby,Republican,28532,34485,AL Marshall,Marshall County,0.8273742206756561
AL,Marshall,109500000.0,Senate,Crumpton,Democrat,5898,34485,AL Marshall,Marshall County,0.1710308829926055
AL,Mobile,109700000.0,Senate,Shelby,Republican,97911,169892,AL Mobile,Mobile County,0.5763131872012808
AL,Mobile,109700000.0,Senate,Crumpton,Democrat,71602,169892,AL Mobile,Mobile County,0.42145598380147387
AL,Monroe,109900000.0,Senate,Crumpton,Democrat,4255,10122,AL Monroe,Monroe County,0.4203714680893104
AL,Monroe,109900000.0,Senate,Shelby,Republican,5854,10122,AL Monroe,Monroe County,0.5783442007508398
AL,Montgomery,110100000.0,Senate,Crumpton,Democrat,57972,94611,AL Montgomery,Montgomery County,0.6127405904176048
AL,Montgomery,110100000.0,Senate,Shelby,Republican,36477,94611,AL Montgomery,Montgomery County,0.3855471351111393
AL,Morgan,110300000.0,Senate,Shelby,Republican,37448,49830,AL Morgan,Morgan County,0.7515151515151515
AL,Morgan,110300000.0,Senate,Crumpton,Democrat,12325,49830,AL Morgan,Morgan County,0.24734095926148905
AL,Perry,110500000.0,Senate,Shelby,Republican,1496,5154,AL Perry,Perry County,0.29025999223903765
AL,Perry,110500000.0,Senate,Crumpton,Democrat,3656,5154,AL Perry,Perry County,0.7093519596429957
AL,Pickens,110700000.0,Senate,Crumpton,Democrat,3908,9298,AL Pickens,Pickens County,0.4203054420305442
AL,Pickens,110700000.0,Senate,Shelby,Republican,5384,9298,AL Pickens,Pickens County,0.5790492579049258
AL,Pike,110900000.0,Senate,Crumpton,Democrat,5037,12899,AL Pike,Pike County,0.39049538723932087
AL,Pike,110900000.0,Senate,Shelby,Republican,7835,12899,AL Pike,Pike County,0.6074114272424219
AL,Randolph,111100000.0,Senate,Shelby,Republican,7454,9887,AL Randolph,Randolph County,0.7539192879538789
AL,Randolph,111100000.0,Senate,Crumpton,Democrat,2424,9887,AL Randolph,Randolph County,0.2451704258116719
AL,Russell,111300000.0,Senate,Shelby,Republican,9408,18921,AL Russell,Russell County,0.4972253052164262
AL,Russell,111300000.0,Senate,Crumpton,Democrat,9487,18921,AL Russell,Russell County,0.5014005602240896
AL,Shelby,111700000.0,Senate,Crumpton,Democrat,24483,100032,AL Shelby,Shelby County,0.24475167946257198
AL,Shelby,111700000.0,Senate,Shelby,Republican,75344,100032,AL Shelby,Shelby County,0.7531989763275752
AL,St Clair,111500000.0,Senate,Crumpton,Democrat,6635,37994,AL St Clair,St clair County,0.17463283676369953
AL,St Clair,111500000.0,Senate,Shelby,Republican,31279,37994,AL St Clair,St clair County,0.8232615676159394
AL,Sumter,111900000.0,Senate,Shelby,Republican,1656,6271,AL Sumter,Sumter County,0.2640727156753309
AL,Sumter,111900000.0,Senate,Crumpton,Democrat,4611,6271,AL Sumter,Sumter County,0.735289427523521
AL,Talladega,112100000.0,Senate,Shelby,Republican,20446,33107,AL Talladega,Talladega County,0.6175733228622345
AL,Talladega,112100000.0,Senate,Crumpton,Democrat,12632,33107,AL Talladega,Talladega County,0.3815507294529858
AL,Tallapoosa,112300000.0,Senate,Shelby,Republican,13401,19222,AL Tallapoosa,Tallapoosa County,0.6971699094787223
AL,Tallapoosa,112300000.0,Senate,Crumpton,Democrat,5804,19222,AL Tallapoosa,Tallapoosa County,0.30194568723337845
AL,Tuscaloosa,112500000.0,Senate,Crumpton,Democrat,31602,81655,AL Tuscaloosa,Tuscaloosa County,0.3870185536709326
AL,Tuscaloosa,112500000.0,Senate,Shelby,Republican,49923,81655,AL Tuscaloosa,Tuscaloosa County,0.6113893821566346
AL,Walker,112700000.0,Senate,Crumpton,Democrat,5558,29026,AL Walker,Walker County,0.19148349755391716
AL,Walker,112700000.0,Senate,Shelby,Republican,23419,29026,AL Walker,Walker County,0.8068283607799903
AL,Washington,112900000.0,Senate,Shelby,Republican,5830,8298,AL Washington,Washington County,0.7025789346830562
AL,Washington,112900000.0,Senate,Crumpton,Democrat,2463,8298,AL Washington,Washington County,0.29681851048445407
AL,Wilcox,113100000.0,Senate,Shelby,Republican,1819,5680,AL Wilcox,Wilcox County,0.3202464788732394
AL,Wilcox,113100000.0,Senate,Crumpton,Democrat,3857,5680,AL Wilcox,Wilcox County,0.6790492957746479
AL,Winston,113300000.0,Senate,Crumpton,Democrat,1269,10098,AL Winston,Winston County,0.12566844919786097
AL,Winston,113300000.0,Senate,Shelby,Republican,8817,10098,AL Winston,Winston County,0.8731431966726084
AR,Arkansas,500100000.0,Senate,Senator John Boozman,Republican,3684,6150,AR Arkansas,Arkansas County,0.5990243902439024
AR,Arkansas,500100000.0,Senate,Conner Eldridge,Democrat,2341,6150,AR Arkansas,Arkansas County,0.38065040650406506
AR,Ashley,500300000.0,Senate,Conner Eldridge,Democrat,2346,7737,AR Ashley,Ashley County,0.3032183016673129
AR,Ashley,500300000.0,Senate,Senator John Boozman,Republican,5106,7737,AR Ashley,Ashley County,0.6599457153935634
AR,Baxter,500500000.0,Senate,Senator John Boozman,Republican,14074,19255,AR Baxter,Baxter County,0.730927031939756
AR,Baxter,500500000.0,Senate,Conner Eldridge,Democrat,4231,19255,AR Baxter,Baxter County,0.2197351337314983
AR,Benton,500700000.0,Senate,Senator John Boozman,Republican,63503,95499,AR Benton,Benton County,0.6649598425114399
AR,Benton,500700000.0,Senate,Conner Eldridge,Democrat,27434,95499,AR Benton,Benton County,0.2872700237698824
AR,Boone,500900000.0,Senate,Conner Eldridge,Democrat,2620,15839,AR Boone,Boone County,0.16541448323757812
AR,Boone,500900000.0,Senate,Senator John Boozman,Republican,12490,15839,AR Boone,Boone County,0.7885598838310499
AR,Bradley,501100000.0,Senate,Conner Eldridge,Democrat,1343,3483,AR Bradley,Bradley County,0.385587137525122
AR,Bradley,501100000.0,Senate,Senator John Boozman,Republican,2019,3483,AR Bradley,Bradley County,0.5796726959517657
AR,Calhoun,501300000.0,Senate,Senator John Boozman,Republican,1336,2193,AR Calhoun,Calhoun County,0.6092111263109895
AR,Calhoun,501300000.0,Senate,Conner Eldridge,Democrat,773,2193,AR Calhoun,Calhoun County,0.35248518011855906
AR,Carroll,501500000.0,Senate,Conner Eldridge,Democrat,3318,10511,AR Carroll,Carroll County,0.31566929882979733
AR,Carroll,501500000.0,Senate,Senator John Boozman,Republican,6771,10511,AR Carroll,Carroll County,0.6441822852250024
AR,Chicot,501700000.0,Senate,Senator John Boozman,Republican,1824,4202,AR Chicot,Chicot County,0.43407900999524035
AR,Chicot,501700000.0,Senate,Conner Eldridge,Democrat,2288,4202,AR Chicot,Chicot County,0.5445026178010471
AR,Clark,501900000.0,Senate,Senator John Boozman,Republican,3947,8276,AR Clark,Clark County,0.47692121797970033
AR,Clark,501900000.0,Senate,Conner Eldridge,Democrat,4087,8276,AR Clark,Clark County,0.4938376027066216
AR,Clay,502100000.0,Senate,Senator John Boozman,Republican,3286,5049,AR Clay,Clay County,0.650821944939592
AR,Clay,502100000.0,Senate,Conner Eldridge,Democrat,1527,5049,AR Clay,Clay County,0.3024361259655377
AR,Cleburne,502300000.0,Senate,Conner Eldridge,Democrat,2902,11780,AR Cleburne,Cleburne County,0.2463497453310696
AR,Cleburne,502300000.0,Senate,Senator John Boozman,Republican,8382,11780,AR Cleburne,Cleburne County,0.7115449915110357
AR,Cleveland,502500000.0,Senate,Conner Eldridge,Democrat,1034,3302,AR Cleveland,Cleveland County,0.3131435493640218
AR,Cleveland,502500000.0,Senate,Senator John Boozman,Republican,2164,3302,AR Cleveland,Cleveland County,0.6553603876438522
AR,Columbia,502700000.0,Senate,Conner Eldridge,Democrat,2757,8461,AR Columbia,Columbia County,0.3258480085096324
AR,Columbia,502700000.0,Senate,Senator John Boozman,Republican,5440,8461,AR Columbia,Columbia County,0.6429500059094669
AR,Conway,502900000.0,Senate,Conner Eldridge,Democrat,3023,7728,AR Conway,Conway County,0.39117494824016563
AR,Conway,502900000.0,Senate,Senator John Boozman,Republican,4403,7728,AR Conway,Conway County,0.5697463768115942
AR,Craighead,503100000.0,Senate,Senator John Boozman,Republican,23218,34933,AR Craighead,Craighead County,0.6646437466006355
AR,Craighead,503100000.0,Senate,Conner Eldridge,Democrat,10241,34933,AR Craighead,Craighead County,0.293161194286205
AR,Crawford,503300000.0,Senate,Senator John Boozman,Republican,16008,22006,AR Crawford,Crawford County,0.7274379714623285
