fips,dem_amount,rep_amount,popestimate,netmig,race_white,race_black,race_hispanic,race_aac,age_0_to_19_years,age_20_to_39_years,age_40_to_59_years,age_60_to_79_years,age_80_years_or_older,financial.services.and.insurance,gasoline.and.other.energy.goods,health.care,other.nondurable.goods,personal.consumption.expenditures,food,household,nonprofit,nondurable_goods,durable_goods,goods_clothing_footwear,services,recreation,transportation,raw_gdp,gdp_change,unemployment,dem_poll_mean,dem_poll_median,dem_poll_sd,rep_poll_mean,rep_poll_median,rep_poll_sd,consistency_dem,consistency_rep,dem_rep_ratio
01001,19130.1433536984,35079.7835223939,55869,254,0.7626232794573019,0.20113121766990638,0.029909252000214787,0.017004063076124506,0.25509674416939626,0.2536469240544846,0.27120585655730367,0.182194061107233,0.03785641411158245,0.00284408904754627,2.751236424865149e-4,0.013439228456048162,0.009039225379240684,0.032591485006348564,0.027140076948787055,0.07721315765029908,0.0034752108078651713,0.02003550490362549,0.009575226457212937,0.016927281883830286,0.10225372424808987,0.004831889159987057,0.010024973074704978,1402.37749062888,-0.999102029999936,5.99166666666667,38.9804615384615,39,2.14516711963284,57.996,58,2.76035369110554,1.1270260663507117,0.9763631695196021,0.3765690376569038
01003,76437.7100255869,140167.183855771,223234,5377,0.874409812125393,0.0877688882517896,0.04718815234238512,0.015011154214859743,0.2341399607586658,0.22266321438490552,0.26108030138778143,0.23847173817608427,0.04364478529256296,0.04127908190894021,0.004526122344071364,0.023840050369881013,0.06452571082921227,0.6940110232070325,0.02931362328180824,0.4301154003706287,0.018685373335833668,0.0537395839770414,0.02551771915269498,0.04106968790721909,0.06354475830434794,0.012413089511835146,0.005095201521832368,5603.4354784057,-0.999102029999936,5.99166666666667,38.9804615384615,39,2.14516711963284,57.996,58,2.76035369110554,1.1448834809060795,0.9889921681780709,0.2928104575163399
01005,8452.75052049257,15500.1796351074,24686,-128,0.49153366280482863,0.4822976585919144,0.04524831888519809,0.0061573361419428015,0.22664668233006563,0.26274001458316454,0.25131653568824436,0.21651948472818602,0.042777282670339464,0.004301500929800598,8.577059678204033e-4,0.005691015958171541,0.011030832006662524,0.05717563968440697,0.007201388014010788,0.006479721885667736,0.003447293943647489,4.572261909700962e-4,0.008036440308947417,0.003615560399739017,0.01784144902238264,3.1627835129212524e-4,6.206221000991028e-4,619.647581550853,-0.999102029999936,5.99166666666667,38.9804615384615,39,2.14516711963284,57.996,58,2.76035369110554,0.9794203795379532,1.0273301417786778,0.8510242085661079
01007,7667.94519792233,14061.0476686622,22394,41,0.7676609806198089,0.21269089934803964,0.027819951772796284,0.004331517370724301,0.2229168527284094,0.27685987318031613,0.27145664017147453,0.19147986067696704,0.0372867732428329,0.006377956659962644,0.0013176585125510534,3.668350717048866e-4,0.0042733042113872535,0.02549081179549053,0.001156431183735247,0.0014749813130504415,0.007598050051196433,0.001197072061706033,8.416385250323756e-4,0.03319671492481628,0.02645260502065498,0.0014002683799384903,0.002361855804086408,562.115690725505,-0.999102029999936,5.99166666666667,38.9804615384615,39,2.14516711963284,57.996,58,2.76035369110554,0.966294557097118,1.0199287093420462,0.26369426751592356
01009,19800.2410920361,36308.5711569198,57826,65,0.9582540725625152,0.016912807387680282,0.0965309722270259,0.005395496835333587,0.2511327084702383,0.23632967869124616,0.26223498080448243,0.20852211807837304,0.041780513955660084,0.0028434491964176166,7.033246823790506e-4,0.0016129811204816512,0.01664779923259104,0.02444216681192321,0.007086493289178005,0.007569437438853697,0.006491960625381031,0.042697407932072814,0.024448377756384254,0.03282346981263963,0.01903089412631243,9.51077062068049e-4,9.727756332124692e-4,1451.5004881617,-0.999102029999936,5.99166666666667,38.9804615384615,39,2.14516711963284,57.996,58,2.76035369110554,1.1334251162790703,0.9983097158891615,0.10702341137123746
01011,3458.69047263613,6342.35252751438,10101,-73,0.26621126621126623,0.7026037026037026,0.08553608553608553,0.004158004158004158,0.22918522918522918,0.277992277992278,0.2546282546282546,0.19641619641619643,0.04177804177804178,5.378294449868171e-4,2.8900781959542476e-4,0.006481652728375083,0.0017605747010834645,7.835466106573342e-5,2.4170786238962336e-4,0.002518994682062402,7.022533541343624e-5,2.760331045714995e-4,9.836160543541315e-4,5.909155562306656e-4,0.0011360766528124599,0.001194460184187988,0.00122008192377073,253.546958650457,-0.999102029999936,5.99166666666667,38.9804615384615,39,2.14516711963284,57.996,58,2.76035369110554,0.9948008498583564,1.0235715539947323,3.0120967741935485
01013,6659.20327807419,12211.2733348282,19448,-123,0.5207219251336899,0.44976347182229537,0.01486013986013986,0.016197038255861784,0.24125874125874125,0.23447141094199916,0.243006993006993,0.22521596051007817,0.0560468942821884,0.0013413490316255244,7.782037533930515e-5,0.0031606685004106,0.006594488171299017,0.12733647454631078,0.0034740346357578374,0.05131464574878661,0.006294749882388274,0.01611967333100891,0.003522992445533455,0.0330535882885283,0.019667280971693436,0.0019617700607099443,4.329496763391413e-4,488.167632099206,-0.999102029999936,5.99166666666667,38.9804615384615,39,2.14516711963284,57.996,58,2.76035369110554,0.9769456404736284,1.022809241463913,0.7256944444444444
01015,38899.5674828064,71331.8442617831,113605,-461,0.7510408872848906,0.21313322477003652,0.040614409577043264,0.013696580256150698,0.24248932705426698,0.2555697372474803,0.2517934950046213,0.21089740768452092,0.039250033009110515,0.005130525014516048,0.0025514970962708917,0.04138144607494078,0.05820017808038451,0.3368719013614196,0.03101705772622153,0.024937757264230472,0.04604868772201309,0.11260688571566053,0.005181828545220539,0.08465737177636062,0.05958655239823372,0.010972239151495825,0.008148597063651697,2851.6188731299,-0.999102029999936,5.99166666666667,38.9804615384615,39,2.14516711963284,57.996,58,2.76035369110554,1.0733821323027974,0.9979823796603973,0.43270622286541244
01017,11386.5253912525,20879.9713840178,33254,-259,0.5704576893005353,0.4019065375593914,0.02619233776387803,0.01305106152643291,0.22830336200156373,0.23762554880615866,0.26035965598123534,0.22827329043122632,0.04543814277981596,0.007183986768723099,9.601953512216868e-4,0.01489050618813205,0.007301876884223656,0.016736535627974867,0.006266818187368028,0.13731261400429387,0.014629951012144468,0.04537794941537113,0.011431339876404907,0.036781951097629,0.03663333351144126,9.527679980220106e-4,0.0049282263087837876,834.714440447706,-0.999102029999936,5.99166666666667,38.9804615384615,39,2.14516711963284,57.996,58,2.76035369110554,0.9969505465903185,1.0135296680763817,0.7264808362369338
01019,8969.7906762871,16448.2988625648,26196,303,0.9317834783936478,0.04096045197740113,0.017140021377309512,0.0057260650480989465,0.20991754466330736,0.20564208276072682,0.26546037562986713,0.2679798442510307,0.05100015269506795,0.004439611910163136,6.475035291631294e-4,0.003797209118591265,0.01376596036771764,0.09899022939751934,0.015569057423739412,0.0910322200304744,0.007879910111728039,0.030380730736182755,0.006463068399270783,0.032832217404138,0.02571644414821267,0.0027043035961962143,9.816999008481393e-4,657.550354302283,-0.999102029999936,5.99166666666667,38.9804615384615,39,2.14516711963284,57.996,58,2.76035369110554,0.9097086614173244,1.0265731638097395,0.15331010452961674
